"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.derby.impl.jdbc.TransactionResourceImpl.handleException(Throwable, boolean, boolean) TransactionResourceImpl.java","6230","25","0","246"
"org.apache.derby.impl.jdbc.TransactionResourceImpl.cleanupOnError(Throwable, boolean) TransactionResourceImpl.java","5938","24","1","246"
"org.apache.derby.iapi.services.context.ContextManager.cleanupOnError(Throwable, boolean) ContextManager.java","5937","24","4","246"
"org.apache.derby.impl.sql.conn.GenericStatementContext.cleanupOnError(Throwable) GenericStatementContext.java","5907","24","3","246"
"org.apache.derby.impl.sql.conn.GenericLanguageConnectionContext.internalRollbackToSavepoint(String, boolean, Object) GenericLanguageConnectionContext.java","5891","25","1","235"
"org.apache.derby.impl.store.access.RAMTransaction.rollbackToSavePoint(String, boolean, Object) RAMTransaction.java","5890","25","1","235"
"org.apache.derby.impl.store.raw.xact.Xact.rollbackToSavePoint(String, Object) Xact.java","5889","25","2","235"
"org.apache.derby.impl.store.raw.xact.Xact.popSavePoints(int, boolean) Xact.java","5886","7","5","823"
"org.apache.derby.impl.store.raw.log.FileLogger.undo(RawTransaction, TransactionId, LogInstant, LogInstant) FileLogger.java","5878","25","26","235"
"org.apache.derby.impl.drda.DDMWriter.writeByte(int) DDMWriter.java","5873","< 0.1","3929","900422"
"org.apache.derby.impl.jdbc.ConnectionChild.restoreContextStack() ConnectionChild.java","5727","< 0.1","1270","293057"
"org.apache.derby.impl.services.locks.ConcurrentPool.zeroDurationlockObject(CompatibilitySpace, Lockable, Object, int) ConcurrentPool.java","5712","< 0.1","1259","291957"
"java.nio.CharBuffer.<init>(int, int, int, int, char[], int, MemorySegmentProxy) CharBuffer.java","5709","< 0.1","1912","292715"
"org.apache.derby.impl.sql.execute.BasicNoPutResultSetImpl.attachStatementContext() BasicNoPutResultSetImpl.java","5701","< 0.1","1908","291255"
"org.apache.derby.impl.jdbc.EmbedResultSet.getInt(int) EmbedResultSet.java","5687","< 0.1","1909","291018"
"org.apache.derby.impl.jdbc.EmbedResultSet.rowUpdated() EmbedResultSet.java","5685","< 0.1","3170","291019"
"org.apache.derby.impl.services.cache.ConcurrentCache.find(Object) ConcurrentCache.java","5433","< 0.1","610","54362"
"org.apache.derby.iapi.types.SQLChar.readExternalFromArray(ArrayInputStream) SQLChar.java","4704","< 0.1","2704","309205"
"org.apache.derby.impl.jdbc.TransactionResourceImpl.setupContextStack() TransactionResourceImpl.java","4475","< 0.1","1273","293892"
"org.apache.derby.impl.jdbc.EmbedConnection.restoreContextStack() EmbedConnection.java","4470","< 0.1","1289","293893"
"org.apache.derby.impl.services.locks.AbstractPool.zeroDurationlockObject(CompatibilitySpace, Lockable, Object, int) AbstractPool.java","4453","< 0.1","1262","291957"
"org.apache.derby.impl.jdbc.EmbedResultSet.checkExecIfClosed(String) EmbedResultSet.java","4424","< 0.1","1901","291136"
"org.apache.derby.impl.jdbc.EmbedResultSet.getColumnType(int) EmbedResultSet.java","4412","< 0.1","1892","291018"
"org.apache.derby.impl.sql.catalog.DataDictionaryImpl.getDescriptorViaIndex(int, ExecIndexRow, ScanQualifier[][], TabInfoImpl, TupleDescriptor, List, Class, boolean) DataDictionaryImpl.java","4326","5","5","750"
"org.apache.derby.impl.drda.DDMWriter.ensureLength(int) DDMWriter.java","4140","< 0.1","4140","1914600"
"org.apache.derby.impl.store.raw.data.FileContainer.getUserPage(BaseContainerHandle, long, boolean, boolean) FileContainer.java","3998","0.1","401","29583"
"org.apache.derby.impl.store.raw.data.StoredFieldHeader.readFieldLengthAndSetStreamPosition(byte[], int, int, int, ArrayInputStream) StoredFieldHeader.java","3997","< 0.1","2672","618709"
"org.apache.derby.impl.drda.DRDAConnThread.writeNullability(int, boolean) DRDAConnThread.java","3850","< 0.1","1925","585971"
"org.apache.derby.impl.jdbc.EmbedConnection.isClosed() EmbedConnection.java","3842","< 0.1","2570","590172"
"org.apache.derby.impl.drda.DRDAStatement.getRsDRDAType(int) DRDAStatement.java","3815","< 0.1","2537","582036"
"org.apache.derby.impl.jdbc.EmbedResultSet.wasNull() EmbedResultSet.java","3763","< 0.1","2521","582035"
