"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.tomcat.util.buf.MessageBytes.equalsIgnoreCase(String) MessageBytes.java","533","< 0.1","378","90980"
"org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.read(boolean, ByteBuffer) NioEndpoint.java","519","0.3","26","1728"
"org.apache.tomcat.util.buf.ByteChunk.toString() ByteChunk.java","476","0.1","14","2604"
"org.apache.tomcat.util.buf.StringCache.toString(ByteChunk) StringCache.java","462","0.1","38","2604"
"org.apache.catalina.core.ContainerBase.logAccess(Request, Response, long, boolean) ContainerBase.java","458","0.2","18","1736"
"org.apache.tomcat.util.http.ValuesEnumerator.nextElement() MimeHeaders.java","443","0.1","14","2596"
"org.apache.coyote.http11.Http11OutputBuffer.sendHeader(MessageBytes, MessageBytes) Http11OutputBuffer.java","435","< 0.1","47","6936"
"org.apache.tomcat.util.http.ValuesEnumerator.nextElement() MimeHeaders.java","429","0.1","21","2596"
"org.apache.catalina.core.AccessLogAdapter.log(Request, Response, long) AccessLogAdapter.java","427","0.4","5","868"
"org.apache.tomcat.util.net.NioEndpoint$Poller.processKey(SelectionKey, NioEndpoint$NioSocketWrapper) NioEndpoint.java","425","0.4","27","868"
"org.apache.catalina.valves.AbstractAccessLogValve.log(Request, Response, long) AbstractAccessLogValve.java","422","0.4","46","868"
"org.apache.tomcat.util.http.ValuesEnumerator.findNext() MimeHeaders.java","421","< 0.1","156","6928"
"org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.fillReadBuffer(boolean, ByteBuffer) NioEndpoint.java","419","0.2","10","1728"
"java.nio.CharBuffer.position(int) CharBuffer.java","414","< 0.1","278","62520"
"org.apache.tomcat.util.net.NioChannel.read(ByteBuffer) NioChannel.java","408","0.2","10","1728"
"org.apache.tomcat.util.buf.ByteChunk.toStringInternal() ByteChunk.java","402","0.1","62","2604"
"sun.nio.ch.SocketChannelImpl.read(ByteBuffer) SocketChannelImpl.java","398","0.2","57","1728"
"org.apache.coyote.Request.recycle() Request.java","393","0.2","76","1736"
"sun.nio.ch.SelectorImpl.select(long) SelectorImpl.java","389","0.2","11","1737"
"org.apache.coyote.http11.Http11OutputBuffer.write(MessageBytes) Http11OutputBuffer.java","388","< 0.1","90","13872"
"sun.nio.ch.SelectorImpl.lockAndDoSelect(Consumer, long) SelectorImpl.java","377","0.2","17","1737"
"java.nio.CharBuffer.mark() CharBuffer.java","377","< 0.1","252","57288"
"java.nio.CharBuffer.reset() CharBuffer.java","374","< 0.1","250","57288"
"sun.nio.ch.KQueueSelectorImpl.doSelect(Consumer, long) KQueueSelectorImpl.java","355","0.2","68","1737"
"org.apache.tomcat.util.buf.MessageBytes.recycle() MessageBytes.java","350","< 0.1","233","53800"
"com.yourkit.an.ar.invoke(Object, Object[]) a","344","< 0.1","66","5374"
"org.apache.coyote.http11.Http11Processor.finishResponse() Http11Processor.java","301","0.3","4","868"
"org.apache.coyote.http11.Http11OutputBuffer.end() Http11OutputBuffer.java","299","0.1","6","1736"
"org.apache.coyote.http11.filters.IdentityOutputFilter.end() IdentityOutputFilter.java","292","0.3","4","868"
"org.apache.coyote.http11.Http11OutputBuffer$SocketOutputBuffer.end() Http11OutputBuffer.java","288","0.3","4","868"
"org.apache.tomcat.util.net.SocketWrapperBase.flush(boolean) SocketWrapperBase.java","283","0.3","4","868"
"java.io.StringReader.read() StringReader.java","281","< 0.1","189","36344"
"java.io.StringReader.mark(int) StringReader.java","280","< 0.1","188","36344"
"org.apache.tomcat.util.net.SocketWrapperBase.flushBlocking() SocketWrapperBase.java","278","0.3","7","868"
"java.nio.CharBuffer.position(int) CharBuffer.java","276","< 0.1","276","125884"
"sun.nio.ch.IOUtil.read(FileDescriptor, ByteBuffer, long, NativeDispatcher) IOUtil.java","275","0.1","10","1728"
"org.apache.tomcat.util.http.MimeHeaders.clear() MimeHeaders.java","271","< 0.1","34","3472"
