"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"sun.util.locale.provider.DecimalFormatSymbolsProviderImpl.getInstance(Locale) DecimalFormatSymbolsProviderImpl.java","163","0.7","1","220"
"java.text.DecimalFormatSymbols.<init>(Locale) DecimalFormatSymbols.java","162","0.7","1","220"
"java.text.DecimalFormatSymbols.initialize(Locale) DecimalFormatSymbols.java","161","0.7","5","220"
"java.net.Socket$SocketInputStream.available() Socket.java","158","< 0.1","33","7315"
"org.cactoos.bytes.BytesOf.<init>(CharSequence, Charset) BytesOf.java","152","< 0.1","65","10835"
"org.cactoos.text.TextOf.<init>(Text) TextOf.java","146","< 0.1","98","24640"
"org.takes.http.BkBasic.addSocketHeaders(Request, Socket) BkBasic.java","146","2","3","55"
"java.util.Formatter$FormatSpecifier.print(int, Locale) Formatter.java","145","0.8","0.8","165"
"org.cactoos.iterator.IteratorEnvelope.next() IteratorEnvelope.java","143","0.2","1","495"
"org.cactoos.iterator.Mapped$1.next() Mapped.java","141","0.2","5","495"
"java.text.DecimalFormatSymbols.findNonFormatChar(String, char) DecimalFormatSymbols.java","141","0.2","9","660"
"org.cactoos.text.TextOf.lambda$new$0(Bytes, Charset) TextOf.java","133","< 0.1","53","10725"
"sun.nio.ch.Util.offerFirstTemporaryDirectBuffer(ByteBuffer) Util.java","126","< 0.1","73","7920"
"sun.nio.ch.NioSocketImpl$1.available() NioSocketImpl.java","125","< 0.1","33","7315"
"org.cactoos.text.TextOf.<init>(Bytes) TextOf.java","117","< 0.1","18","4510"
"org.cactoos.scalar.ScalarEnvelope.value() ScalarEnvelope.java","111","0.2","2","495"
"org.takes.rs.RsWrap.head() RsWrap.java","109","0.1","2","660"
"org.cactoos.scalar.Mapped.lambda$new$0(Func, Scalar) Mapped.java","109","0.2","3","495"
"org.takes.rs.ResponseOf.head() ResponseOf.java","109","0.2","1","440"
"org.takes.rs.RsWithHeader.lambda$new$1(Response, Scalar) RsWithHeader.java","107","0.6","1","165"
"java.util.regex.Matcher.matches() Matcher.java","104","0.2","2","495"
"java.util.LinkedList.add(Object) LinkedList.java","102","< 0.1","40","10120"
"org.cactoos.text.TextEnvelope.<init>(Text) TextEnvelope.java","102","< 0.1","102","51920"
"java.util.regex.Matcher.match(int, int) Matcher.java","102","0.2","2","495"
"org.cactoos.text.UncheckedText.<init>(Text) UncheckedText.java","101","< 0.1","61","10065"
"org.cactoos.list.ListOf.<init>(Object[]) ListOf.java","101","0.1","4","715"
"org.cactoos.text.FormattedText.lambda$new$0(Locale, Collection, String) FormattedText.java","98","0.2","4","385"
"java.util.regex.Pattern$BmpCharPropertyGreedy.match(Matcher, int, CharSequence) Pattern.java","96","0.1","11","715"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int) AbstractQueuedSynchronizer.java","93","< 0.1","56","8030"
"java.util.stream.IntPipeline.findFirst() IntPipeline.java","92","0.1","2","660"
"sun.nio.ch.NioSocketImpl.available() NioSocketImpl.java","91","< 0.1","51","7315"
"java.util.concurrent.locks.ReentrantLock$Sync.lock() ReentrantLock.java","91","< 0.1","36","7920"
"org.takes.rs.RsWithoutHeader.lambda$new$1(CharSequence, Response) RsWithoutHeader.java","89","0.5","1","165"
"java.util.stream.AbstractPipeline.evaluate(TerminalOp) AbstractPipeline.java","89","0.1","4","660"
"sun.nio.ch.NioSocketImpl.beginRead() NioSocketImpl.java","89","< 0.1","53","7810"
"org.cactoos.text.Lowered.<init>(CharSequence) Lowered.java","87","< 0.1","5","880"
"org.cactoos.list.ListOf.<init>(Iterable) ListOf.java","87","0.1","15","715"
"org.cactoos.scalar.Not.value() Not.java","85","0.2","1","385"
"org.cactoos.iterable.IterableOf.iterator() IterableOf.java","85","< 0.1","10","1925"
"org.cactoos.text.StartsWith.value() StartsWith.java","83","0.2","1","385"
"java.net.ServerSocket.accept() ServerSocket.java","83","0.7","0","110"
"org.cactoos.text.StartsWith.value() StartsWith.java","82","0.2","2","385"
"java.util.stream.FindOps$FindOp.evaluateSequential(PipelineHelper, Spliterator) FindOps.java","81","0.1","6","660"
"java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object, Object) DirectMethodHandle$Holder","80","< 0.1","80","38390"
"org.cactoos.bytes.BytesOf.<init>(CharSequence) BytesOf.java","77","< 0.1","17","4345"
"org.cactoos.bytes.BytesOf.asBytes() BytesOf.java","71","< 0.1","42","10780"
"org.cactoos.text.FormattedText.<init>(CharSequence, Collection) FormattedText.java","68","0.1","4","660"
"sun.nio.ch.SocketDispatcher.read(FileDescriptor, long, int) SocketDispatcher.java","66","< 0.1","36","7810"
"org.takes.rs.RsWithBody.lambda$new$0(Response, RsBody) RsWithBody.java","64","1","0.5","55"
"org.cactoos.text.FormattedText.<init>(CharSequence, Locale, Collection) FormattedText.java","63","< 0.1","3","660"
"java.util.LinkedList.linkLast(Object) LinkedList.java","62","< 0.1","41","10120"
"java.util.stream.AbstractPipeline.wrapAndCopyInto(Sink, Spliterator) AbstractPipeline.java","60","< 0.1","4","660"
"java.net.ServerSocket.implAccept() ServerSocket.java","58","0.5","0","110"
"java.net.ServerSocket.implAccept(Socket) ServerSocket.java","58","0.5","0","110"
"java.net.ServerSocket.platformImplAccept() ServerSocket.java","58","0.5","0","110"
"org.takes.misc.Href.<init>(CharSequence) Href.java","57","0.5","1","110"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.initialTryLock() ReentrantLock.java","56","< 0.1","37","8030"
"java.util.regex.Pattern$BmpCharPredicate.lambda$union$2(Pattern$CharPredicate, int) Pattern.java","55","< 0.1","45","11605"
"java.nio.MappedByteBuffer.limit(int) MappedByteBuffer.java","54","< 0.1","36","7919"
"java.nio.MappedByteBuffer.position(int) MappedByteBuffer.java","53","< 0.1","35","7920"
"java.nio.MappedByteBuffer.rewind() MappedByteBuffer.java","53","< 0.1","35","7919"
"org.cactoos.iterable.IterableEnvelope.iterator() IterableEnvelope.java","53","< 0.1","3","880"
"org.takes.rs.RsWithHeader.extend(Iterable, String) RsWithHeader.java","52","0.3","1","165"
"java.net.ServerSocket.implAccept(SocketImpl) ServerSocket.java","52","0.4","0","110"
"sun.nio.ch.NioSocketImpl.accept(SocketImpl) NioSocketImpl.java","52","0.4","0","110"
"java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object) Invokers$Holder","49","< 0.1","31","8085"
"java.io.ByteArrayOutputStream.write(int) ByteArrayOutputStream.java","49","< 0.1","33","7260"
"org.cactoos.text.TextOfScalar.<init>(Scalar) TextOfScalar.java","48","< 0.1","48","24640"
"java.util.Formatter$FormatSpecifier.printString(Object, Locale) Formatter.java","48","< 0.1","9","1430"
"java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object) Invokers$Holder","47","< 0.1","47","24200"
"java.util.stream.AbstractPipeline.copyInto(Sink, Spliterator) AbstractPipeline.java","46","< 0.1","2","660"
"org.takes.rq.RqLive.checkLineFeed(InputStream, ByteArrayOutputStream, Integer) RqLive.java","45","0.1","1","275"
